iter	Passed	Remaining
0	1	113
1	1	92
2	2	85
3	3	76
4	3	75
5	4	72
6	5	70
7	6	69
8	7	71
9	7	71
10	8	71
11	9	70
12	10	68
13	11	67
14	11	66
15	12	65
16	13	64
17	13	63
18	14	62
19	15	61
20	15	59
21	16	58
22	17	57
23	17	56
24	18	55
25	19	55
26	20	54
27	20	53
28	21	52
29	22	51
30	23	51
31	24	51
32	24	50
33	25	50
34	26	49
35	27	48
36	27	47
37	28	46
38	29	46
39	30	45
40	30	44
41	30	42
42	32	42
43	32	41
44	33	41
45	34	40
46	35	39
47	35	38
48	36	38
49	37	37
50	38	36
51	39	36
52	40	35
53	40	34
54	41	33
55	41	32
56	42	32
57	43	31
58	43	30
59	44	29
60	45	28
61	45	28
62	46	27
63	47	26
64	48	25
65	48	25
66	49	24
67	50	23
68	50	22
69	51	22
70	52	21
71	53	20
72	54	20
73	54	19
74	55	18
75	56	17
76	56	16
77	57	16
78	58	15
79	58	14
80	59	13
81	60	13
82	60	12
83	61	11
84	61	10
85	62	10
86	63	9
87	63	8
88	64	7
89	65	7
90	66	6
91	66	5
92	67	5
93	68	4
94	69	3
95	70	2
96	70	2
97	71	1
98	72	0
99	72	0
