iter	Passed	Remaining
0	121	121437
1	123	61585
2	125	41859
3	127	31764
4	129	25813
5	131	21754
6	132	18828
7	135	16740
8	136	15068
9	138	13692
10	139	12534
11	140	11581
12	142	10824
13	143	10140
14	145	9542
15	146	9001
16	148	8601
17	150	8203
18	151	7825
19	152	7483
20	153	7164
21	155	6919
22	157	6669
23	158	6443
24	159	6216
25	160	6015
26	164	5914
27	165	5747
28	167	5608
29	172	5565
30	174	5441
31	175	5304
32	176	5172
33	177	5054
34	179	4945
35	180	4835
36	181	4729
37	182	4625
38	184	4539
39	186	4468
40	187	4380
41	188	4297
42	189	4224
43	191	4157
44	192	4086
45	193	4015
46	194	3945
47	195	3882
48	196	3820
49	198	3768
50	199	3716
51	200	3663
52	202	3609
53	203	3558
54	204	3518
55	205	3471
56	207	3434
57	208	3390
58	209	3346
59	210	3302
60	212	3267
61	213	3234
62	215	3202
63	216	3164
64	217	3128
65	218	3096
66	220	3072
67	221	3039
68	222	3006
69	223	2973
70	224	2941
71	226	2920
72	227	2894
73	229	2867
74	230	2840
75	231	2814
76	232	2785
77	233	2760
78	235	2744
79	236	2720
80	237	2695
81	238	2670
82	239	2640
83	240	2618
84	241	2596
85	242	2578
86	243	2559
87	245	2541
88	246	2522
89	247	2502
90	248	2485
91	250	2468
92	251	2448
93	251	2428
94	252	2409
95	253	2390
96	254	2371
97	255	2352
98	256	2334
99	257	2318
100	258	2302
101	259	2285
102	260	2268
103	261	2252
104	262	2236
105	263	2219
106	264	2204
107	265	2189
108	266	2174
109	267	2160
110	267	2145
111	268	2131
112	269	2117
113	270	2104
114	271	2089
115	272	2077
116	273	2064
117	274	2051
118	275	2040
119	276	2027
120	277	2015
121	278	2002
122	279	1991
123	280	1980
124	281	1968
125	282	1956
126	282	1944
127	283	1933
128	284	1922
129	285	1911
130	286	1902
131	288	1893
132	289	1885
133	290	1876
134	291	1867
135	292	1858
136	293	1849
137	294	1840
138	296	1833
139	297	1826
140	298	1818
141	299	1807
142	300	1798
143	301	1793
144	302	1785
145	304	1778
146	305	1770
147	305	1761
148	307	1753
149	308	1746
150	309	1739
151	310	1731
152	311	1723
153	312	1716
154	313	1708
155	314	1701
156	315	1694
157	316	1688
158	318	1682
159	319	1676
160	319	1667
161	321	1660
162	322	1653
163	323	1647
164	324	1641
165	325	1634
166	326	1627
167	327	1620
168	328	1613
169	329	1607
170	330	1600
171	331	1593
172	332	1590
173	333	1584
174	334	1578
175	335	1572
176	336	1566
177	337	1560
178	339	1555
179	340	1549
180	341	1543
181	342	1537
182	343	1531
183	344	1525
184	344	1519
185	345	1513
186	347	1509
187	348	1504
188	349	1499
189	350	1494
190	351	1488
191	352	1483
192	353	1478
193	354	1474
194	355	1468
195	356	1462
196	357	1457
197	358	1452
198	359	1446
199	360	1441
200	361	1436
201	362	1433
202	363	1428
203	364	1423
204	365	1419
205	366	1413
206	368	1409
207	369	1406
208	370	1400
209	371	1395
210	371	1390
211	372	1386
212	373	1381
213	374	1376
214	375	1371
215	376	1368
216	378	1364
217	379	1359
218	380	1355
219	381	1351
220	382	1346
221	383	1342
222	384	1338
223	385	1334
224	386	1330
225	387	1326
226	388	1322
227	389	1318
228	390	1314
229	391	1311
230	392	1308
231	393	1304
232	395	1300
233	395	1296
234	396	1291
235	398	1288
236	399	1285
237	400	1281
238	401	1277
239	402	1273
240	402	1269
241	403	1265
242	404	1261
243	405	1257
244	407	1256
245	408	1252
246	409	1248
247	410	1245
248	411	1241
249	412	1237
250	413	1234
251	414	1230
252	415	1226
253	416	1223
254	417	1219
255	418	1216
256	419	1213
257	420	1209
258	421	1207
259	423	1204
260	424	1200
261	425	1197
262	425	1193
263	427	1190
264	428	1187
265	429	1184
266	430	1181
267	431	1178
268	432	1175
269	433	1172
270	434	1169
271	435	1166
272	436	1163
273	438	1161
274	439	1157
275	440	1155
276	441	1152
277	442	1149
278	443	1147
279	444	1143
280	445	1140
281	446	1137
282	447	1134
283	448	1130
284	449	1127
285	450	1124
286	451	1121
287	452	1119
288	453	1116
289	455	1113
290	455	1110
291	456	1107
292	457	1104
293	459	1102
294	460	1100
295	461	1097
296	462	1094
297	463	1090
298	464	1088
299	465	1085
300	467	1085
301	468	1082
302	469	1080
303	470	1077
304	471	1074
305	472	1071
306	473	1069
307	474	1066
308	475	1064
309	476	1061
310	477	1058
311	478	1056
312	479	1053
313	481	1051
314	482	1049
315	483	1047
316	484	1044
317	485	1042
318	486	1039
319	487	1036
320	489	1034
321	490	1032
322	491	1029
323	492	1027
324	493	1024
325	494	1022
326	495	1020
327	497	1018
328	498	1017
329	499	1014
330	500	1012
331	501	1009
332	503	1007
333	504	1005
334	505	1003
335	506	1001
336	507	999
337	508	996
338	510	994
339	511	993
340	512	991
341	514	989
342	515	986
343	516	984
344	517	982
345	518	980
346	519	977
347	520	975
348	521	973
349	522	971
350	523	968
351	525	966
352	526	964
353	527	962
354	528	960
355	529	958
356	531	956
357	532	954
358	533	952
359	534	950
360	535	947
361	536	945
362	537	943
363	538	941
364	539	938
365	540	936
366	541	934
367	542	932
368	544	930
369	545	929
370	546	927
371	547	924
372	549	923
373	550	921
374	551	918
375	552	916
376	553	914
377	554	911
378	555	909
379	556	907
380	557	906
381	559	904
382	560	902
383	561	900
384	562	898
385	563	896
386	564	894
387	565	892
388	566	889
389	567	887
390	568	885
391	569	883
392	570	881
393	571	879
394	573	877
395	574	875
396	575	874
397	576	872
398	577	870
399	578	868
400	579	866
401	580	863
402	581	862
403	582	859
404	583	857
405	585	855
406	586	854
407	587	852
408	588	850
409	590	849
410	591	847
411	592	845
412	593	843
413	594	840
414	595	839
415	596	837
416	597	835
417	598	833
418	599	831
419	601	830
420	603	829
421	604	827
422	605	825
423	606	823
424	607	821
425	608	819
426	609	817
427	610	815
428	611	814
429	612	812
430	614	811
431	615	809
432	617	808
433	618	806
434	619	804
435	620	802
436	621	801
437	623	799
438	624	797
439	625	795
440	626	793
441	627	791
442	628	789
443	629	788
444	630	786
445	631	784
446	632	782
447	634	781
448	635	779
449	636	777
450	637	775
451	638	773
452	639	772
453	640	770
454	641	768
455	642	766
456	643	764
457	644	762
458	645	761
459	647	759
460	648	757
461	649	756
462	650	754
463	651	752
464	652	750
465	653	749
466	655	747
467	655	745
468	656	743
469	658	742
470	659	740
471	660	738
472	661	736
473	662	735
474	664	733
475	665	732
476	666	730
477	667	728
478	668	726
479	669	725
480	670	723
481	671	721
482	672	719
483	673	718
484	674	716
485	675	714
486	677	713
